run_at,mode,scenario,dataset_size,text_variant,batch_size,change_ratio,change_distribution,delete_ratio,detection_method,run_index,records_total,records_inserted,records_updated,records_skipped,records_deleted,db_writes,hashing_time_sec,load_time_sec,total_time_sec,peak_memory_mb,db_size_bytes,incremental_to_full_ratio,speedup_vs_full
2026-06-05T21:55:53.590561+00:00,full_reload,full_reload,200,short,100,,skupione,0.0,hash_or_timestamp,0,200,200,0,0,0,200,0.0006339000537991524,0.000683600315824151,0.005459900014102459,0.16286087036132812,271736,,
2026-06-05T21:55:53.601068+00:00,incremental_load,incremental_no_changes,200,short,100,0.0,skupione,0.0,hash_or_timestamp,0,200,0,0,200,0,0,0.0006509998347610235,2.8899870812892914e-05,0.00511129992082715,0.22671890258789062,485976,0.9361526598701617,1.0682018466290462
2026-06-05T21:55:53.612073+00:00,incremental_load,incremental_new_only,200,short,100,0.0,skupione,0.0,hash_or_timestamp,0,220,20,0,200,0,20,0.0005906999576836824,0.00018670037388801575,0.0055268001742661,0.21488571166992188,762016,1.0122530009690367,0.9878953177147345
2026-06-05T21:55:53.623077+00:00,incremental_load,incremental_new_and_changed,200,short,100,0.1,skupione,0.0,hash_or_timestamp,0,220,20,20,180,0,40,0.0005864999257028103,0.00028959987685084343,0.005626199999824166,0.21463394165039062,1079256,1.030458430610848,0.9704418638287112
2026-06-05T21:55:53.634585+00:00,incremental_load,incremental_high_change,200,short,100,0.5,skupione,0.0,hash_or_timestamp,0,200,0,100,100,0,100,0.0007622998673468828,0.0003575000446289778,0.005800299812108278,0.21280384063720703,1367656,1.0623454270456594,0.9413134132661167
2026-06-05T21:55:53.645092+00:00,incremental_append_only,incremental_append_only,200,short,100,0.0,skupione,0.0,brak,0,220,20,0,200,0,20,5.8399979025125504e-05,0.00017899996601045132,0.004929599817842245,0.14754009246826172,1651936,0.9028736433102267,1.1075746948749956
2026-06-05T21:55:53.661110+00:00,incremental_with_deletes,incremental_with_deletes,200,short,100,0.0,skupione,0.05,hash_or_timestamp,0,190,0,0,190,10,10,0.0005315002053976059,0.00020619970746338367,0.005002500023692846,0.21612930297851562,2125736,0.9889490599205188,1.011174428013885
2026-06-05T21:55:53.666610+00:00,full_reload,full_reload,200,short,100,,skupione,0.0,hash_or_timestamp,1,200,200,0,0,0,200,0.000546999741345644,0.0007823999039828777,0.005428599892184138,0.1485919952392578,2344096,,
2026-06-05T21:55:53.676617+00:00,incremental_load,incremental_no_changes,200,short,100,0.0,skupione,0.0,hash_or_timestamp,1,200,0,0,200,0,0,0.0005407000426203012,2.5900080800056458e-05,0.005091300001367927,0.21708106994628906,2562456,0.9378661353727982,1.0662502486055794
2026-06-05T21:55:53.688631+00:00,incremental_load,incremental_new_only,200,short,100,0.0,skupione,0.0,hash_or_timestamp,1,220,20,0,200,0,20,0.0005882002878934145,0.00018949969671666622,0.006046300055459142,0.21654510498046875,2846736,1.1137862755669912,0.8978383213520328
2026-06-05T21:55:53.701140+00:00,incremental_load,incremental_new_and_changed,200,short,100,0.1,skupione,0.0,hash_or_timestamp,1,220,20,20,180,0,40,0.0005974997766315937,0.000304599991068244,0.006438300013542175,0.2138690948486328,3163976,1.1859964155420184,0.8431728687333214
2026-06-05T21:55:53.712649+00:00,incremental_load,incremental_high_change,200,short,100,0.5,skupione,0.0,hash_or_timestamp,1,200,0,100,100,0,100,0.0005612000823020935,0.00036759977228939533,0.005581500008702278,0.20638179779052734,3452376,1.0281656632566123,0.9726059094724091
2026-06-05T21:55:53.722654+00:00,incremental_append_only,incremental_append_only,200,short,100,0.0,skupione,0.0,brak,1,220,20,0,200,0,20,5.559995770454407e-05,0.00013480009511113167,0.004744699923321605,0.13663387298583984,3736656,0.8740190873438319,1.144139772781196
2026-06-05T21:55:53.742665+00:00,incremental_with_deletes,incremental_with_deletes,200,short,100,0.0,skupione,0.05,hash_or_timestamp,1,190,0,0,190,10,10,0.0005189001094549894,0.00014819973148405552,0.004818999907001853,0.2115936279296875,4353816,0.52320151562116,1.9113094479720132
