run_at,backend,mode,scenario,dataset_size,text_variant,batch_size,change_ratio,change_distribution,delete_ratio,detection_method,run_index,records_total,records_inserted,records_updated,records_skipped,records_deleted,db_writes,hashing_time_sec,load_time_sec,total_time_sec,peak_memory_mb,db_size_bytes,incremental_to_full_ratio,speedup_vs_full
2026-06-10T16:55:09.669859+00:00,sqlite,full_reload,full_reload_in_memory,10000,long,5000,,n/a,0.0,n/a,0,10000,10000,0,0,0,10000,0.05246900000202004,0.0414946000018972,3.9617719000016223,52.653075218200684,0,,
2026-06-10T16:55:13.871254+00:00,sqlite,full_reload_file,full_reload_files,10000,long,5000,,n/a,0.0,n/a,0,10000,10000,0,0,0,10000,0.052042299997992814,0.25341820000176085,4.191123900003731,52.65072536468506,53002240,,
2026-06-10T16:55:21.399066+00:00,sqlite,incremental_with_deletes,incremental_with_deletes_in_memory,10000,long,5000,,n/a,0.1,hash_or_timestamp,0,9000,0,0,9000,1000,1000,0.05206480000197189,0.0029320999965420924,3.568988900005934,51.53066921234131,0,0.9008567353422019,1.1100544190527002
2026-06-10T16:55:29.237164+00:00,sqlite,incremental_with_deletes_file,incremental_with_deletes_files,10000,long,5000,,n/a,0.1,hash_or_timestamp,0,9000,0,0,9000,1000,1000,0.055023800006893,0.029991499992320314,3.623598899997887,51.40904140472412,53002240,0.8645888278308024,1.1566191556152021
2026-06-10T16:55:33.181617+00:00,sqlite,full_reload,full_reload_in_memory,10000,long,5000,,n/a,0.0,n/a,1,10000,10000,0,0,0,10000,0.051870199997210875,0.037507799999730196,3.937916700000642,52.6508092880249,0,,
2026-06-10T16:55:37.389297+00:00,sqlite,full_reload_file,full_reload_files,10000,long,5000,,n/a,0.0,n/a,1,10000,10000,0,0,0,10000,0.05195320000348147,0.24237149999680696,4.18950240000413,52.65073299407959,53002240,,
2026-06-10T16:55:44.939478+00:00,sqlite,incremental_with_deletes,incremental_with_deletes_in_memory,10000,long,5000,,n/a,0.1,hash_or_timestamp,1,9000,0,0,9000,1000,1000,0.05459740000515012,0.0027358000006643124,3.5983205000011367,51.409239768981934,0,0.9137624724262324,1.094376306946365
2026-06-10T16:55:52.718734+00:00,sqlite,incremental_with_deletes_file,incremental_with_deletes_files,10000,long,5000,,n/a,0.1,hash_or_timestamp,1,9000,0,0,9000,1000,1000,0.049997599999187514,0.00686620000487892,3.551696100003028,51.408263206481934,53002240,0.847760846252177,1.179577948687828
2026-06-10T16:55:56.694336+00:00,sqlite,full_reload,full_reload_in_memory,10000,long,5000,,n/a,0.0,n/a,2,10000,10000,0,0,0,10000,0.06178500000532949,0.03529990000970429,3.9686307000010856,52.65128993988037,0,,
2026-06-10T16:56:00.889172+00:00,sqlite,full_reload_file,full_reload_files,10000,long,5000,,n/a,0.0,n/a,2,10000,10000,0,0,0,10000,0.0523380000013276,0.2476068000032683,4.181052600004477,52.65078639984131,53002240,,
2026-06-10T16:56:08.395944+00:00,sqlite,incremental_with_deletes,incremental_with_deletes_in_memory,10000,long,5000,,n/a,0.1,hash_or_timestamp,2,9000,0,0,9000,1000,1000,0.05169860000023618,0.002803300005325582,3.583359299998847,51.531195640563965,0,0.9029208235469898,1.1075168208787667
2026-06-10T16:56:16.190698+00:00,sqlite,incremental_with_deletes_file,incremental_with_deletes_files,10000,long,5000,,n/a,0.1,hash_or_timestamp,2,9000,0,0,9000,1000,1000,0.05127230000653071,0.012089299991203006,3.5731911999973818,51.408263206481934,53002240,0.8546152229688656,1.170117233023394
2026-06-10T16:56:20.162112+00:00,sqlite,full_reload,full_reload_in_memory,10000,long,5000,,n/a,0.0,n/a,3,10000,10000,0,0,0,10000,0.05873989999963669,0.03695720000541769,3.9637989999973797,52.6514196395874,0,,
2026-06-10T16:56:24.367980+00:00,sqlite,full_reload_file,full_reload_files,10000,long,5000,,n/a,0.0,n/a,3,10000,10000,0,0,0,10000,0.05198329999984708,0.26056370000878815,4.188499700001557,52.65078639984131,53002240,,
2026-06-10T16:56:31.896342+00:00,sqlite,incremental_with_deletes,incremental_with_deletes_in_memory,10000,long,5000,,n/a,0.1,hash_or_timestamp,3,9000,0,0,9000,1000,1000,0.05606909999914933,0.00305510000907816,3.5829266000000644,51.53105068206787,0,0.903912282131973,1.1063020381152404
2026-06-10T16:56:39.711731+00:00,sqlite,incremental_with_deletes_file,incremental_with_deletes_files,10000,long,5000,,n/a,0.1,hash_or_timestamp,3,9000,0,0,9000,1000,1000,0.05033720000210451,0.011777400002756622,3.569383199996082,51.408263206481934,53002240,0.8521865717203597,1.1734519566310937
2026-06-10T16:56:43.648756+00:00,sqlite,full_reload,full_reload_in_memory,10000,long,5000,,n/a,0.0,n/a,4,10000,10000,0,0,0,10000,0.05737399999634363,0.03546430000278633,3.929537199997867,52.46776485443115,0,,
2026-06-10T16:56:47.876543+00:00,sqlite,full_reload_file,full_reload_files,10000,long,5000,,n/a,0.0,n/a,4,10000,10000,0,0,0,10000,0.05665909999515861,0.24307929999486078,4.2121380000025965,52.651061058044434,53002240,,
2026-06-10T16:56:55.355659+00:00,sqlite,incremental_with_deletes,incremental_with_deletes_in_memory,10000,long,5000,,n/a,0.1,hash_or_timestamp,4,9000,0,0,9000,1000,1000,0.05347750000510132,0.003181200001563411,3.5573401000001468,51.530348777770996,0,0.9052822047344603,1.104627921293695
2026-06-10T16:57:03.159010+00:00,sqlite,incremental_with_deletes_file,incremental_with_deletes_files,10000,long,5000,,n/a,0.1,hash_or_timestamp,4,9000,0,0,9000,1000,1000,0.04922919999808073,0.011502000015752856,3.5754429000007804,51.40837001800537,53002240,0.8488427729572432,1.178074470159117
2026-06-10T16:57:07.105453+00:00,sqlite,full_reload,full_reload_in_memory,10000,long,10000,,n/a,0.0,n/a,0,10000,10000,0,0,0,10000,0.05427090000011958,0.04556909999519121,3.9389231000022846,53.810906410217285,0,,
2026-06-10T16:57:11.286880+00:00,sqlite,full_reload_file,full_reload_files,10000,long,10000,,n/a,0.0,n/a,0,10000,10000,0,0,0,10000,0.0530542000051355,0.23310180000407854,4.168055200003437,53.81116580963135,53002240,,
2026-06-10T16:57:18.803168+00:00,sqlite,incremental_with_deletes,incremental_with_deletes_in_memory,10000,long,10000,,n/a,0.1,hash_or_timestamp,0,9000,0,0,9000,1000,1000,0.05473090000305092,0.0026231999945594,3.5687911999993958,52.683820724487305,0,0.9060322096659683,1.1037135207021782
2026-06-10T16:57:26.564312+00:00,sqlite,incremental_with_deletes_file,incremental_with_deletes_files,10000,long,10000,,n/a,0.1,hash_or_timestamp,0,9000,0,0,9000,1000,1000,0.05292869999539107,0.006735299997671973,3.5648942999978317,52.56143760681152,53002240,0.8552896084473383,1.1691946097829526
2026-06-10T16:57:30.492881+00:00,sqlite,full_reload,full_reload_in_memory,10000,long,10000,,n/a,0.0,n/a,1,10000,10000,0,0,0,10000,0.05214030000206549,0.04146190000028582,3.92345639999985,53.810906410217285,0,,
2026-06-10T16:57:34.701958+00:00,sqlite,full_reload_file,full_reload_files,10000,long,10000,,n/a,0.0,n/a,1,10000,10000,0,0,0,10000,0.05350750000070548,0.2516020999973989,4.190193599999475,53.81116580963135,53002240,,
2026-06-10T16:57:42.196175+00:00,sqlite,incremental_with_deletes,incremental_with_deletes_in_memory,10000,long,10000,,n/a,0.1,hash_or_timestamp,1,9000,0,0,9000,1000,1000,0.05375209999328945,0.0026052000030176714,3.5429586000027484,52.683820724487305,0,0.9030197455495832,1.1073954970845006
